Collection,DocumentId,Field,OriginalUrl,Error
"products_v2","6a23eca9e3922eaccd8e71dd","documents.2.url","https://drive.google.com/file/d/1h74gAOlcXdU6j8Czv6-djp37K7uvZL-K/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ecb2e3922eaccd8e71f5","images.main.url","https://aptghana.com/api/image/HELICAL-INLINE-GEARS-MOTOR-300x300.jpg","Non-downloadable content-type: undefined"
"products_v2","6a23ecb2e3922eaccd8e71f5","documents.0.url","https://drive.google.com/file/d/1LmdMC5kUrmp1s4emg1ep_gG1pAK0T5gU/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ecb2e3922eaccd8e71f5","documents.1.url","https://drive.google.com/file/d/1JIZ72sXf9Q9qFUwm-apQQvgGZl4bHU_J/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ecb2e3922eaccd8e71f5","documents.2.url","https://drive.google.com/file/d/1iaA7thULbaxuHgBp_d2urDtS-TJCFA-6/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ecb2e3922eaccd8e71f5","documents.3.url","https://drive.google.com/file/d/1Ki2nR42abMo6bFubLeycJGfQZ20QwOyW/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ecbbe3922eaccd8e721f","images.main.url","https://aptghana.com/api/image/HELICAL-INLINE-GEARS-MOTOR-300x300.jpg","Non-downloadable content-type: undefined"
"products_v2","6a23ecbbe3922eaccd8e721f","documents.0.url","https://drive.google.com/file/d/1pidll8TegikmHBiGEQ32ArM9p0MVFiYo/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ecbbe3922eaccd8e721f","documents.1.url","https://drive.google.com/file/d/1JIZ72sXf9Q9qFUwm-apQQvgGZl4bHU_J/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ecbbe3922eaccd8e721f","documents.2.url","https://drive.google.com/file/d/1iaA7thULbaxuHgBp_d2urDtS-TJCFA-6/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ecbbe3922eaccd8e721f","documents.3.url","https://drive.google.com/file/d/1i2RE0U1GhM053geBGY-RprTbo4s6WHsl/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ecbce3922eaccd8e7227","images.main.url","https://aptghana.com/api/image/HELICAL-INLINE-GEARS-MOTOR-300x300.jpg","Non-downloadable content-type: undefined"
"products_v2","6a23ecbce3922eaccd8e7227","documents.0.url","https://drive.google.com/file/d/1M64zYlGi_rEeqKqxogS3YyUkWibtasGs/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ecbce3922eaccd8e7227","documents.1.url","https://drive.google.com/file/d/1JIZ72sXf9Q9qFUwm-apQQvgGZl4bHU_J/view?usp=drivesdk","Non-downloadable content-type: text/html"
